station,count_rule,count_model,diff,diff_pct
Aldridge,994,994,0,0.0
Aston,4709,4709,0,0.0
Bickenhill,1329,1329,0,0.0
Billesley,3223,3223,0,0.0
Bilston,2796,2796,0,0.0
Binley,3086,3086,0,0.0
Bloxwich,1319,1319,0,0.0
Bournbrook,1886,1886,0,0.0
Brierley Hill,3517,3517,0,0.0
Canley,1480,1480,0,0.0
Coventry,4117,4117,0,0.0
Cradley Heath,914,914,0,0.0
Dudley,3684,3684,0,0.0
Erdington,2748,2748,0,0.0
Fallings Park,4266,4266,0,0.0
Foleshill,2981,2981,0,0.0
Haden Cross,1047,1047,0,0.0
Halesowen,456,456,0,0.0
Handsworth,2640,2640,0,0.0
Hay Mills,3189,3189,0,0.0
Highgate,5454,5454,0,0.0
Kings Norton,1878,1878,0,0.0
Ladywood,5633,5633,0,0.0
Northfield,2935,2935,0,0.0
Oldbury,2964,2964,0,0.0
Perry Barr,3049,3049,0,0.0
Sheldon,3862,3862,0,0.0
Smethwick,1466,1466,0,0.0
Solihull,2755,2755,0,0.0
Stourbridge,1309,1309,0,0.0
Sutton Coldfield,1421,1421,0,0.0
Tettenhall,668,668,0,0.0
Tipton,2046,2046,0,0.0
Walsall,5094,5094,0,0.0
Ward End,3463,3463,0,0.0
Wednesbury,2436,2436,0,0.0
West Bromwich,3962,3962,0,0.0
Willenhall,2276,2276,0,0.0
Wolverhampton,3959,3959,0,0.0
Woodgate Valley,2033,2033,0,0.0
