step,value,tag
1200,-183572592.0,rollout/ep_rew_mean
2400,-183553632.0,rollout/ep_rew_mean
3600,-186266416.0,rollout/ep_rew_mean
4800,-190531088.0,rollout/ep_rew_mean
6000,-187243632.0,rollout/ep_rew_mean
7200,-185262160.0,rollout/ep_rew_mean
8400,-189372064.0,rollout/ep_rew_mean
9600,-192408016.0,rollout/ep_rew_mean
10800,-191620400.0,rollout/ep_rew_mean
12000,-194144912.0,rollout/ep_rew_mean
13200,-191838208.0,rollout/ep_rew_mean
14400,-187275120.0,rollout/ep_rew_mean
15600,-183032816.0,rollout/ep_rew_mean
16800,-179130640.0,rollout/ep_rew_mean
18000,-175735920.0,rollout/ep_rew_mean
19200,-172293120.0,rollout/ep_rew_mean
20400,-167937088.0,rollout/ep_rew_mean
21600,-165066144.0,rollout/ep_rew_mean
22800,-161005008.0,rollout/ep_rew_mean
24000,-157476656.0,rollout/ep_rew_mean
25200,-153594048.0,rollout/ep_rew_mean
26400,-149900112.0,rollout/ep_rew_mean
27600,-146563760.0,rollout/ep_rew_mean
28800,-143546624.0,rollout/ep_rew_mean
30000,-140516976.0,rollout/ep_rew_mean
31200,-135512336.0,rollout/ep_rew_mean
32400,-130572592.0,rollout/ep_rew_mean
33600,-125325576.0,rollout/ep_rew_mean
34800,-119099680.0,rollout/ep_rew_mean
36000,-113647568.0,rollout/ep_rew_mean
37200,-108190368.0,rollout/ep_rew_mean
38400,-100880872.0,rollout/ep_rew_mean
39600,-93296720.0,rollout/ep_rew_mean
40800,-86619192.0,rollout/ep_rew_mean
42000,-78686936.0,rollout/ep_rew_mean
43200,-72692568.0,rollout/ep_rew_mean
44400,-67951992.0,rollout/ep_rew_mean
45600,-63724936.0,rollout/ep_rew_mean
46800,-59446336.0,rollout/ep_rew_mean
48000,-55094816.0,rollout/ep_rew_mean
49200,-51064468.0,rollout/ep_rew_mean
50400,-47768528.0,rollout/ep_rew_mean
51600,-43876068.0,rollout/ep_rew_mean
52800,-41231632.0,rollout/ep_rew_mean
54000,-38521244.0,rollout/ep_rew_mean
55200,-36301160.0,rollout/ep_rew_mean
56400,-34104732.0,rollout/ep_rew_mean
57600,-31930068.0,rollout/ep_rew_mean
58800,-29608764.0,rollout/ep_rew_mean
60000,-27661750.0,rollout/ep_rew_mean
61200,-25959600.0,rollout/ep_rew_mean
62400,-24395968.0,rollout/ep_rew_mean
63600,-22803794.0,rollout/ep_rew_mean
64800,-21814756.0,rollout/ep_rew_mean
66000,-21097812.0,rollout/ep_rew_mean
67200,-20535400.0,rollout/ep_rew_mean
68400,-20034988.0,rollout/ep_rew_mean
69600,-19743844.0,rollout/ep_rew_mean
70800,-19689746.0,rollout/ep_rew_mean
72000,-19759986.0,rollout/ep_rew_mean
73200,-19709780.0,rollout/ep_rew_mean
74400,-19723394.0,rollout/ep_rew_mean
75600,-19359614.0,rollout/ep_rew_mean
76800,-19569246.0,rollout/ep_rew_mean
78000,-19551708.0,rollout/ep_rew_mean
79200,-19490374.0,rollout/ep_rew_mean
80400,-19542076.0,rollout/ep_rew_mean
81600,-19480904.0,rollout/ep_rew_mean
82800,-19387590.0,rollout/ep_rew_mean
84000,-19218358.0,rollout/ep_rew_mean
85200,-19167550.0,rollout/ep_rew_mean
86400,-19174206.0,rollout/ep_rew_mean
87600,-19156466.0,rollout/ep_rew_mean
88800,-19092082.0,rollout/ep_rew_mean
90000,-19011880.0,rollout/ep_rew_mean
91200,-19148970.0,rollout/ep_rew_mean
92400,-18940728.0,rollout/ep_rew_mean
93600,-18828654.0,rollout/ep_rew_mean
94800,-18641322.0,rollout/ep_rew_mean
96000,-18536788.0,rollout/ep_rew_mean
97200,-18263688.0,rollout/ep_rew_mean
98400,-18253326.0,rollout/ep_rew_mean
99600,-18326470.0,rollout/ep_rew_mean
100800,-18452438.0,rollout/ep_rew_mean
102000,-18407896.0,rollout/ep_rew_mean
103200,-18427764.0,rollout/ep_rew_mean
104400,-18286276.0,rollout/ep_rew_mean
105600,-18408952.0,rollout/ep_rew_mean
106800,-18064628.0,rollout/ep_rew_mean
108000,-18157400.0,rollout/ep_rew_mean
109200,-18127794.0,rollout/ep_rew_mean
110400,-18004838.0,rollout/ep_rew_mean
111600,-18264872.0,rollout/ep_rew_mean
112800,-18552118.0,rollout/ep_rew_mean
114000,-18751064.0,rollout/ep_rew_mean
115200,-18812642.0,rollout/ep_rew_mean
116400,-18869700.0,rollout/ep_rew_mean
117600,-19036368.0,rollout/ep_rew_mean
118800,-19176604.0,rollout/ep_rew_mean
120000,-19305122.0,rollout/ep_rew_mean
121200,-19310068.0,rollout/ep_rew_mean
122400,-19460600.0,rollout/ep_rew_mean
123600,-19571060.0,rollout/ep_rew_mean
124800,-19520964.0,rollout/ep_rew_mean
126000,-19530650.0,rollout/ep_rew_mean
127200,-19634902.0,rollout/ep_rew_mean
128400,-19695506.0,rollout/ep_rew_mean
129600,-19819204.0,rollout/ep_rew_mean
130800,-19583090.0,rollout/ep_rew_mean
132000,-19812486.0,rollout/ep_rew_mean
133200,-19951848.0,rollout/ep_rew_mean
134400,-20284912.0,rollout/ep_rew_mean
135600,-20309882.0,rollout/ep_rew_mean
136800,-20290196.0,rollout/ep_rew_mean
138000,-20106742.0,rollout/ep_rew_mean
139200,-20211244.0,rollout/ep_rew_mean
140400,-20499100.0,rollout/ep_rew_mean
141600,-20260556.0,rollout/ep_rew_mean
142800,-20055656.0,rollout/ep_rew_mean
144000,-19714630.0,rollout/ep_rew_mean
145200,-19578892.0,rollout/ep_rew_mean
146400,-19651700.0,rollout/ep_rew_mean
147600,-19538328.0,rollout/ep_rew_mean
148800,-19549192.0,rollout/ep_rew_mean
150000,-19455440.0,rollout/ep_rew_mean
151200,-19263590.0,rollout/ep_rew_mean
152400,-19200728.0,rollout/ep_rew_mean
153600,-19297096.0,rollout/ep_rew_mean
154800,-19476816.0,rollout/ep_rew_mean
156000,-19507752.0,rollout/ep_rew_mean
157200,-19526484.0,rollout/ep_rew_mean
158400,-19589502.0,rollout/ep_rew_mean
159600,-19530634.0,rollout/ep_rew_mean
160800,-19837924.0,rollout/ep_rew_mean
162000,-19436396.0,rollout/ep_rew_mean
163200,-19319862.0,rollout/ep_rew_mean
164400,-19263288.0,rollout/ep_rew_mean
165600,-19243396.0,rollout/ep_rew_mean
166800,-19340836.0,rollout/ep_rew_mean
168000,-19460884.0,rollout/ep_rew_mean
169200,-19414926.0,rollout/ep_rew_mean
170400,-19264776.0,rollout/ep_rew_mean
171600,-19461318.0,rollout/ep_rew_mean
172800,-19421432.0,rollout/ep_rew_mean
174000,-19494380.0,rollout/ep_rew_mean
175200,-19627016.0,rollout/ep_rew_mean
176400,-19550094.0,rollout/ep_rew_mean
177600,-19397550.0,rollout/ep_rew_mean
178800,-19466108.0,rollout/ep_rew_mean
180000,-19582420.0,rollout/ep_rew_mean
181200,-19681664.0,rollout/ep_rew_mean
182400,-19665378.0,rollout/ep_rew_mean
183600,-19334364.0,rollout/ep_rew_mean
184800,-19238724.0,rollout/ep_rew_mean
186000,-19254254.0,rollout/ep_rew_mean
187200,-19200382.0,rollout/ep_rew_mean
188400,-19160024.0,rollout/ep_rew_mean
189600,-19083036.0,rollout/ep_rew_mean
190800,-18920186.0,rollout/ep_rew_mean
192000,-18926722.0,rollout/ep_rew_mean
193200,-18892574.0,rollout/ep_rew_mean
194400,-18869030.0,rollout/ep_rew_mean
195600,-18738776.0,rollout/ep_rew_mean
196800,-18607710.0,rollout/ep_rew_mean
198000,-18485480.0,rollout/ep_rew_mean
199200,-18704378.0,rollout/ep_rew_mean
