step,value,tag
1200,300.0,rollout/ep_len_mean
2400,300.0,rollout/ep_len_mean
3600,300.0,rollout/ep_len_mean
1200,-962360640.0,rollout/ep_rew_mean
2400,-973625152.0,rollout/ep_rew_mean
3600,-901822656.0,rollout/ep_rew_mean
1200,72.0,time/fps
2400,54.0,time/fps
3600,48.0,time/fps
1200,940.8677978515625,train/actor_loss
2400,378398.0625,train/actor_loss
3600,1912037.75,train/actor_loss
1200,14939988164608.0,train/critic_loss
2400,27652274520064.0,train/critic_loss
3600,21657943015424.0,train/critic_loss
1200,0.9476075172424316,train/ent_coef
2400,1.4203732013702393,train/ent_coef
3600,2.180004835128784,train/ent_coef
1200,-0.08935897052288055,train/ent_coef_loss
2400,-2.9493331909179688,train/ent_coef_loss
3600,-6.854186058044434,train/ent_coef_loss
1200,0.0003000000142492354,train/learning_rate
2400,0.0003000000142492354,train/learning_rate
3600,0.0003000000142492354,train/learning_rate
